Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Norm Type (norm_type),Categorized By (category),Registrations (registrations)
"2019-07-01","Rajasthan","08","Sahapura (Jaipur) Dto","RJ52","Bharat Stage IV/VI","Norm","11.0"
"2020-11-01","Punjab","03","Sdm Samrala","PB43","Bharat Stage IV","Norm","11217.0"
"2019-11-01","Andhra Pradesh","28","Chirala Uo","AP127","Bharat Stage VI","Norm","7.0"
"2020-01-01","Punjab","03","Rto Malerkotla","PB28","Bharat Stage VI","Norm","4.0"
"2021-02-01","Gujarat","24","Navsari","GJ21","Bharat Stage VI","Norm","1956.0"
"2023-05-01","Tamil Nadu","33","Thiruthuraipoondi Uo","TN630","Bharat Stage VI","Norm","285.0"
"2023-05-01","Maharashtra","27","Wardha","MH32","Bharat Stage V (CEV)","Norm","1.0"
"2020-08-01","Tamil Nadu","33","Redhills Rto","TN18","Bharat Stage IV","Norm","1.0"
"2020-11-01","Kerala","32","Malappuram Rto","KL10","Bharat Stage III (CEV)","Norm","5.0"
"2021-04-01","Rajasthan","08","Jodhpur Rto","RJ19","Bharat Stage II","Norm","1.0"
"2022-10-01","Punjab","03","Sdm Samrala","PB43","Bharat Stage VI","Norm","349.0"
"2020-07-01","Maharashtra","27","Dy.R.T.O.Borivali","MH47","Bharat Stage III (CEV)","Norm","1.0"
"2019-12-01","Gujarat","24","Dahod","GJ20","Bharat Stage III","Norm","6.0"
"2022-12-01","Maharashtra","27","Mumbai (West)","MH2","Bharat Stage III (CEV)","Norm","2.0"
"2022-02-01","Rajasthan","08","Balotra Dto","RJ39","Bharat Stage VI","Norm","597.0"
"2020-08-01","Rajasthan","08","Hanumangarh Dto","RJ31","Bharat Stage VI","Norm","856.0"
"2024-04-01","Karnataka","29","Bengaluru East Rto","KA3","Not Available","Norm","506.0"
"2021-12-01","Andhra Pradesh","28","Ravulapalem Uo","AP705","Not Available","Norm","25.0"
"2019-10-01","Chhattisgarh","22","Raipur Rto","CG4","Bharat Stage IV/VI","Norm","559.0"
"2020-11-01","Punjab","03","Sdm Ludhiana East","PB91","Bharat (Trem) Stage III A","Norm","136.0"
"2019-06-01","Arunachal Pradesh","12","Lohit","AR11","Bharat (Trem) Stage III A","Norm","2.0"
"2023-05-01","Tripura","16","Unakoti Dto","TR2","Bharat Stage III","Norm","2.0"
"2024-04-01","Chhattisgarh","22","Rajnandgaon Arto","CG8","Bharat Stage IV (CEV)","Norm","7.0"
"2021-03-01","Uttar Pradesh","09","Shravasti","UP46","Not Available","Norm","17.0"
"2023-01-01","Rajasthan","08","Ajmer Rto","RJ1","Bharat (Trem) Stage III A","Norm","133.0"
"2020-06-01","Madhya Pradesh","23","Satna Arto","MP19","Not Available","Norm","4.0"
"2021-01-01","Madhya Pradesh","23","Dewas Dto","MP41","Bharat Stage VI","Norm","2817.0"
"2020-01-01","Bihar","10","Buxur","BR44","Bharat (Trem) Stage III","Norm","4.0"
"2020-06-01","Rajasthan","08","Dholpur Dto","RJ11","Bharat Stage III (CEV)","Norm","2.0"
"2023-01-01","Odisha","21","Bhadrak Rto","OR22","Bharat Stage IV (CEV)","Norm","3.0"
"2021-12-01","Sikkim","11","Pakyong","SK7","Bharat Stage VI","Norm","80.0"
"2023-08-01","West Bengal","19","Kalimpong Rto","WB78","Bharat (Trem) Stage III A","Norm","4.0"
"2024-01-01","Chhattisgarh","22","Durg Rto","CG7","Not Available","Norm","585.0"
"2019-03-01","Bihar","10","Katihar","BR39","Bharat (Trem) Stage III","Norm","1.0"
"2023-12-01","Madhya Pradesh","23","Shahdol Rto","MP18","Bharat Stage VI","Norm","1298.0"
"2022-07-01","Tamil Nadu","33","Avinashi Uo","TN580","Bharat Stage VI","Norm","652.0"
"2021-08-01","Tamil Nadu","33","Sankagiri Rto","TN52","Bharat Stage IV","Norm","1.0"
"2022-11-01","Uttar Pradesh","09","Ayodhya Rto","UP42","Bharat (Trem) Stage III A","Norm","126.0"
"2022-01-01","Kerala","32","Koilandy Srto","KL56","Bharat Stage VI","Norm","735.0"
"2022-06-01","Haryana","06","Sonepat","HR10","Bharat (Trem) Stage III A","Norm","76.0"
"2023-11-01","Arunachal Pradesh","12","Lower Siang","AR22","Bharat Stage III","Norm","171.0"
"2022-01-01","Andhra Pradesh","28","Kovvuru Uo","AP337","Bharat Stage III","Norm","13.0"
"2024-02-01","Madhya Pradesh","23","Shahdol Rto","MP18","Bharat (Trem) Stage IV","Norm","1.0"
"2021-07-01","Bihar","10","Jehanabad","BR25","Not Available","Norm","35.0"
"2020-03-01","Madhya Pradesh","23","Sehore Dto","MP37","Bharat Stage VI","Norm","275.0"
"2024-04-01","Himachal Pradesh","02","Rla Amb","HP19","Bharat Stage VI","Norm","160.0"
"2020-06-01","Assam","18","Sivasagar","AS4","Bharat Stage IV","Norm","3.0"
"2023-09-01","Arunachal Pradesh","12","West Siang","AR8","Not Available","Norm","8.0"
"2021-02-01","Karnataka","29","K G F Arto","KA8","Bharat (Trem) Stage III A","Norm","18.0"
"2021-03-01","Bihar","10","Bettiah","BR22","Bharat Stage III (CEV)","Norm","6.0"
"2021-03-01","Uttarakhand","05","Pithoragarh Arto","UK5","Bharat (Trem) Stage III A","Norm","1.0"
"2023-04-01","Uttar Pradesh","09","Balrampur","UP47","Bharat Stage III (CEV)","Norm","2.0"
"2023-02-01","West Bengal","19","Coochbehar Rto","WB63","Bharat Stage IV (CEV)","Norm","1.0"
"2022-06-01","Punjab","03","Rto Sangrur","PB13","Bharat Stage IV (CEV)","Norm","4.0"
"2019-10-01","Kerala","32","Chengannur Srto","KL30","Not Available","Norm","1.0"
"2022-10-01","Haryana","06","Ambala City","HR1","Not Available","Norm","31.0"
"2020-04-01","Karnataka","29","Raichur Rto","KA36","Bharat Stage IV","Norm","728.0"
"2023-05-01","Punjab","03","Sdm Nangal","PB74","Bharat Stage VI","Norm","178.0"
"2024-01-01","Bihar","10","Madhubani","BR32","Bharat Stage III (CEV)","Norm","1.0"
"2020-02-01","Maharashtra","27","Nanded","MH26","Not Available","Norm","26.0"
"2020-12-01","Punjab","03","Rto Tarn Taran","PB46","Bharat (Trem) Stage III A","Norm","87.0"
"2024-03-01","Rajasthan","08","Nagaur Dto","RJ21","Bharat (Trem) Stage IV","Norm","2.0"
"2023-12-01","Kerala","32","Alathur Srto","KL49","Bharat (Trem) Stage III A","Norm","4.0"
"2023-03-01","Karnataka","29","Hospet Rto","KA35","Bharat (Trem) Stage III A","Norm","201.0"
"2020-11-01","West Bengal","19","Purulia Rto","WB55","Not Available","Norm","120.0"
"2022-12-01","Rajasthan","08","Ajmer Rto","RJ1","Bharat Stage III (CEV)","Norm","17.0"
"2024-04-01","Andhra Pradesh","28","Adoni Rto","AP221","Not Available","Norm","19.0"
"2022-12-01","Maharashtra","27","Sangli","MH10","Bharat (Trem) Stage IV","Norm","1.0"
"2024-02-01","Maharashtra","27","Nagpur (East)","MH49","Bharat (Trem) Stage IV","Norm","1.0"
"2021-06-01","Odisha","21","Khordha Arto","OR201","Bharat Stage VI","Norm","94.0"
"2022-06-01","Tamil Nadu","33","Thirumangalam Uo","TN598","Not Available","Norm","10.0"
"2020-06-01","Maharashtra","27","Vasai","MH48","Bharat Stage III (CEV)","Norm","4.0"
"2019-10-01","Bihar","10","Bhagalpur","BR10","Not Available","Norm","90.0"
"2019-05-01","Haryana","06","Sdm Badli","HR89","Bharat (Trem) Stage III A","Norm","18.0"
"2023-01-01","Madhya Pradesh","23","Shivpuri Dto","MP33","Bharat Stage III","Norm","1.0"
"2019-07-01","Himachal Pradesh","02","Rla Manali","HP58","Not Available","Norm","1.0"
"2023-07-01","Uttar Pradesh","09","Akbarpur(Ambedkar Nagar)","UP45","Not Available","Norm","170.0"
"2021-08-01","Assam","18","Nalbari","AS14","Not Available","Norm","49.0"
"2020-09-01","Maharashtra","27","Malegaon","MH41","Bharat (Trem) Stage III A","Norm","248.0"
"2020-12-01","Tamil Nadu","33","Rto Chennai (North West)","TN2","Bharat Stage VI","Norm","1184.0"
"2024-03-01","Himachal Pradesh","02","Rla Jhandutta","HP89","Bharat Stage VI","Norm","81.0"
"2021-10-01","Rajasthan","08","Phalodi Dto","RJ43","Bharat (Trem) Stage III A","Norm","143.0"
"2024-05-01","Tamil Nadu","33","Tirunelveli Rto","TN72","Bharat (Trem) Stage IV","Norm","2.0"
"2019-05-01","West Bengal","19","Birbhum Rto","WB53","Bharat Stage III (CEV)","Norm","3.0"
"2020-10-01","Jammu And Kashmir","01","Srinagar Rto","JK1","Bharat Stage III (CEV)","Norm","1.0"
"2024-03-01","Karnataka","29","Krishnarajapuram Rto","KA53","Bharat (Trem) Stage IV","Norm","5.0"
"2022-01-01","Andhra Pradesh","28","Proddutur Rta","AP204","Bharat Stage III","Norm","98.0"
"2023-08-01","Rajasthan","08","Didwana Dto","RJ37","Bharat (Trem) Stage III A","Norm","79.0"
"2023-06-01","Goa","30","Margao Rto","GA8","Bharat (Trem) Stage III A","Norm","5.0"
"2021-03-01","Haryana","06","Jind","HR31","Bharat Stage III (CEV)","Norm","2.0"
"2021-02-01","Tamil Nadu","33","Sankagiri Rto","TN52","Bharat Stage VI","Norm","1146.0"
"2023-07-01","Uttar Pradesh","09","Kaushambi","UP73","Not Available","Norm","201.0"
"2023-01-01","Haryana","06","Gohana","HR11","Bharat Stage VI","Norm","414.0"
"2022-04-01","Tripura","16","Khowai Dto","TR6","Not Available","Norm","9.0"
"2022-02-01","Karnataka","29","Bengaluru West Rto","KA2","Not Available","Norm","293.0"
"2023-02-01","Maharashtra","27","Nanded","MH26","Bharat (Trem) Stage III A","Norm","271.0"
"2022-12-01","Rajasthan","08","Bikaner Rto","RJ7","Bharat Stage IV (CEV)","Norm","2.0"
"2023-07-01","Tripura","16","Dhalai Dto","TR4","Not Available","Norm","77.0"
"2022-03-01","Mizoram","15","Champhai","MZ4","Bharat Stage III (CEV)","Norm","1.0"
"2022-01-01","Tamil Nadu","33","Erode (West) Rto","TN86","Not Available","Norm","10.0"
"2019-07-01","Kerala","32","Punalur Srto","KL25","Bharat Stage IV/VI","Norm","15.0"
"2023-11-01","Punjab","03","Sdm Mukerian","PB54","Bharat (Trem) Stage IV","Norm","3.0"
"2020-09-01","Odisha","21","Kalahandi Rto","OR8","Not Available","Norm","26.0"
"2022-01-01","Rajasthan","08","Nohar Dto","RJ49","Bharat (Trem) Stage III A","Norm","168.0"
"2019-10-01","Kerala","32","Nedumangadu Srto","KL21","Bharat Stage III (CEV)","Norm","3.0"
"2023-02-01","Rajasthan","08","Tonk Dto","RJ26","Bharat (Trem) Stage III A","Norm","263.0"
"2021-08-01","Karnataka","29","Ramanagar Rto","KA42","Not Available","Norm","32.0"
"2021-01-01","West Bengal","19","Barasat Rto","WB25","Not Available","Norm","101.0"
"2021-04-01","Haryana","06","Rta, Bhiwani","HR61","Bharat Stage VI","Norm","161.0"
"2020-06-01","Gujarat","24","Ahmedabad East","GJ27","Bharat (Trem) Stage III A","Norm","13.0"
"2023-07-01","Odisha","21","Bhadrak Rto","OR22","Bharat Stage VI","Norm","1318.0"
"2019-12-01","Tamil Nadu","33","Erode Rto","TN33","Bharat Stage IV/VI","Norm","24.0"
"2022-01-01","Kerala","32","Nedumangadu Srto","KL21","Bharat Stage VI","Norm","1054.0"
"2019-05-01","West Bengal","19","Paschim Burdwan Rto","WB37","Bharat Stage III (CEV)","Norm","12.0"
"2022-07-01","Jammu And Kashmir","01","Kulgam Arto","JK18","Bharat Stage VI","Norm","313.0"
"2020-07-01","Himachal Pradesh","02","Rla Joginder Nagar","HP29","Bharat Stage VI","Norm","291.0"
"2019-01-01","Delhi","07","Rajouri Garden","DL10","Bharat Stage IV/VI","Norm","1.0"
"2019-04-01","Delhi","07","Surajmal Vihar","DL13","Bharat Stage IV/VI","Norm","7.0"
"2021-01-01","Uttar Pradesh","09","Bijnor","UP20","Bharat Stage III (CEV)","Norm","4.0"
"2019-12-01","Andhra Pradesh","28","Unit Office Kathipudi","AP305","Bharat Stage IV","Norm","434.0"
"2022-04-01","Bihar","10","Madhepura","BR43","Bharat Stage VI","Norm","1448.0"
"2023-05-01","Haryana","06","Naraingarh","HR4","Bharat Stage III (CEV)","Norm","6.0"
"2022-11-01","Kerala","32","Koduvally Srto","KL57","Not Available","Norm","92.0"
"2023-03-01","Jammu And Kashmir","01","Anantnag Arto","JK3","Bharat Stage IV (CEV)","Norm","6.0"
"2023-02-01","Punjab","03","Sdm Jalandhar-11","PB90","Bharat Stage VI","Norm","16.0"
"2022-12-01","Kerala","32","Changanacherry Srto","KL33","Bharat Stage VI","Norm","678.0"
"2023-11-01","Haryana","06","Rta, Panchkula","HR68","Bharat Stage VI","Norm","194.0"
"2020-03-01","Jharkhand","20","Dto Office Dumka","JH4","Bharat Stage III (CEV)","Norm","8.0"
"2019-09-01","Punjab","03","Ahmedgarh Sdm","PB82","Bharat Stage IV","Norm","35.0"
"2021-08-01","Madhya Pradesh","23","Katni Arto","MP21","Bharat Stage IV","Norm","1.0"
"2024-03-01","Odisha","21","Kendrapara Rto","OR29","Bharat Stage IV (CEV)","Norm","1.0"
"2019-02-01","Odisha","21","Talcher Rto","OR35","Bharat Stage IV","Norm","761.0"
"2019-03-01","Punjab","03","Jalalabad Sdm","PB61","Bharat Stage IV","Norm","284.0"
"2022-12-01","Himachal Pradesh","02","Rla Nadaun","HP55","Not Available","Norm","3.0"
"2019-08-01","Rajasthan","08","Jhalawar Dto","RJ17","Bharat Stage IV","Norm","1322.0"
"2021-10-01","Tamil Nadu","33","Mayiladuthurai Rto","TN589","Not Available","Norm","2.0"
"2021-05-01","Karnataka","29","Chintamani Arto","KA67","Bharat (Trem) Stage III A","Norm","1.0"
"2021-03-01","Haryana","06","Dabwali","HR25","Bharat (Trem) Stage III A","Norm","64.0"
"2024-02-01","Uttar Pradesh","09","Padrauna(Kushi Nagar)","UP57","Bharat Stage VI","Norm","3766.0"
"2021-09-01","The Dadra And Nagar Haveli And Daman And Diu","38","Daman","DD3","Bharat (Trem) Stage III A","Norm","2.0"
"2019-03-01","Chhattisgarh","22","Jashpur Dto","CG14","Bharat Stage IV","Norm","2185.0"
"2020-12-01","Tamil Nadu","33","Kallakurichi Rto","TN615","Not Available","Norm","2.0"
"2021-10-01","Kerala","32","Chittur Srto","KL70","Bharat Stage VI","Norm","493.0"
"2023-12-01","Rajasthan","08","Pipar City Dto","RJ54","Not Available","Norm","21.0"
"2019-05-01","Uttar Pradesh","09","Sahjahanpur","UP27","Bharat (Trem) Stage III","Norm","1.0"
"2022-02-01","Maharashtra","27","Akola","MH30","Bharat Stage V (CEV)","Norm","2.0"
"2021-09-01","Punjab","03","Sdm Ahmedgarh","PB82","Bharat Stage VI","Norm","89.0"
"2020-04-01","Andhra Pradesh","28","Tenali Uo","AP707","Bharat Stage IV","Norm","88.0"
"2021-04-01","Punjab","03","Sdm Bhikhiwind","PB88","Bharat (Trem) Stage III","Norm","1.0"
"2021-07-01","Tamil Nadu","33","Avinashi Uo","TN580","Bharat Stage III (CEV)","Norm","2.0"
"2023-04-01","Haryana","06","Gurugram South","HR72","Bharat Stage III (CEV)","Norm","1.0"
"2020-03-01","Haryana","06","Bhiwani","HR16","Bharat (Trem) Stage III","Norm","1.0"
"2019-06-01","Assam","18","Morigaon","AS21","Bharat (Trem) Stage III","Norm","1.0"
"2023-01-01","Haryana","06","Sdm Office Kalka","HR49","Bharat Stage IV","Norm","8.0"
"2020-02-01","Mizoram","15","Champhai","MZ4","Bharat Stage IV","Norm","72.0"
"2020-01-01","Assam","18","Biswanath Chariali","AS32","Bharat Stage VI","Norm","12.0"
"2019-11-01","Himachal Pradesh","02","Rla Nagrota Bagwan","HP94","Bharat Stage IV/VI","Norm","12.0"
"2023-08-01","Uttar Pradesh","09","Sant Kabir Nagar","UP58","Not Available","Norm","87.0"
"2021-08-01","Punjab","03","Rto Ludhiana","PB10","Bharat Stage I","Norm","1.0"
"2023-06-01","Rajasthan","08","Jalore Dto","RJ16","Bharat Stage IV (CEV)","Norm","6.0"
"2022-01-01","Tamil Nadu","33","Tiruvarur Rto","TN50","Bharat (Trem) Stage III A","Norm","15.0"
"2019-11-01","Uttar Pradesh","09","Baghpat","UP17","Bharat (Trem) Stage III A","Norm","54.0"
"2022-03-01","Tamil Nadu","33","Alangudi Uo","TN641","Bharat Stage VI","Norm","518.0"
"2021-11-01","Maharashtra","27","Amrawati","MH27","Bharat Stage VI","Norm","3778.0"
"2021-03-01","Tamil Nadu","33","Tindivanam Rto","TN571","Bharat (Trem) Stage III A","Norm","66.0"
"2021-04-01","Maharashtra","27","Ambejogai","MH44","Bharat (Trem) Stage III A","Norm","10.0"
"2019-11-01","West Bengal","19","Arambag Arto","WB18","Bharat Stage VI","Norm","2.0"
"2020-12-01","Maharashtra","27","Mumbai (Central)","MH1","Bharat Stage I","Norm","1.0"
"2020-03-01","Punjab","03","Sdm Ajnala","PB14","Bharat Stage IV","Norm","425.0"
"2019-08-01","Haryana","06","Tosham","HR48","Bharat Stage IV","Norm","239.0"
"2019-06-01","Rajasthan","08","Kota Rto","RJ20","Bharat Stage IV","Norm","3557.0"
"2019-01-01","Madhya Pradesh","23","Seoni Arto","MP22","Bharat (Trem) Stage III A","Norm","1.0"
"2022-01-01","Uttar Pradesh","09","Sahjahanpur","UP27","Bharat (Trem) Stage III","Norm","9.0"
"2022-04-01","Meghalaya","17","Khliehriat","ML11","Bharat Stage III","Norm","4.0"
"2023-07-01","Rajasthan","08","Alwar Rto","RJ2","Bharat (Trem) Stage III A","Norm","550.0"
"2023-10-01","Gujarat","24","Bardoli","GJ19","Not Available","Norm","90.0"
"2021-06-01","Rajasthan","08","Phalodi Dto","RJ43","Bharat (Trem) Stage III A","Norm","105.0"
"2019-09-01","Rajasthan","08","Sahapura (Bhilwara) Dto","RJ51","Bharat Stage IV/VI","Norm","24.0"
"2021-02-01","Karnataka","29","Bidar Rto","KA38","Bharat Stage III (CEV)","Norm","6.0"
"2019-10-01","Haryana","06","Gohana","HR11","Bharat (Trem) Stage III","Norm","1.0"
"2022-03-01","Kerala","32","Chengannur Srto","KL30","Not Available","Norm","17.0"
"2019-11-01","Punjab","03","Morinda Sdm","PB87","Bharat Stage VI","Norm","4.0"
"2021-06-01","Sikkim","11","Soreng","SK6","Bharat Stage VI","Norm","23.0"
"2022-05-01","Kerala","32","Kottayam Rto","KL5","Not Available","Norm","51.0"
"2020-10-01","Punjab","03","Rto Sbs Nagar","PB32","Bharat (Trem) Stage III A","Norm","37.0"
"2021-04-01","Karnataka","29","Chintamani Arto","KA67","Bharat Stage IV","Norm","5.0"
"2021-02-01","Karnataka","29","Karwar Rto","KA30","Bharat Stage VI","Norm","360.0"
"2021-11-01","Odisha","21","Mayurbhanj Rto","OR11","Bharat Stage IV (CEV)","Norm","2.0"
"2019-03-01","Bihar","10","Lakhisarai","BR53","Bharat (Trem) Stage III A","Norm","58.0"
"2019-05-01","Andhra Pradesh","28","Rajahmundry Rta","AP105","Bharat Stage III","Norm","3.0"
"2021-07-01","Kerala","32","Nilambur Srto","KL71","Bharat Stage III/IV","Norm","12.0"
"2022-06-01","Maharashtra","27","Srirampur","MH17","Bharat (Trem) Stage III","Norm","1.0"
"2020-01-01","Kerala","32","Nedumangadu Srto","KL21","Bharat Stage VI","Norm","60.0"
"2023-12-01","Karnataka","29","Udupi Rto","KA20","Not Available","Norm","188.0"
"2023-10-01","Gujarat","24","Bharuch","GJ16","Bharat (Trem) Stage IV","Norm","5.0"
"2023-07-01","Uttar Pradesh","09","Bandarto","UP90","Bharat Stage IV (CEV)","Norm","1.0"
"2023-03-01","Haryana","06","Sdm Bilaspur","HR71","Not Available","Norm","8.0"
"2020-10-01","Bihar","10","Katihar","BR39","Bharat (Trem) Stage III A","Norm","136.0"
"2024-05-01","Haryana","06","Gurugram South","HR72","Bharat Stage IV (CEV)","Norm","1.0"
"2019-03-01","Andhra Pradesh","28","Bapatla Mvi Office","AP207","Not Available","Norm","58.0"
"2021-11-01","Uttar Pradesh","09","Ayodhya Rto","UP42","Bharat Stage IV (CEV)","Norm","5.0"
"2022-07-01","Odisha","21","Sundergarh Rto","OR16","Bharat Stage III (CEV)","Norm","2.0"
"2022-12-01","Arunachal Pradesh","12","Tawang","AR3","Bharat Stage IV (CEV)","Norm","2.0"
"2020-02-01","Uttar Pradesh","09","Bareilly","UP25","Bharat Stage II","Norm","1.0"
"2020-01-01","Uttar Pradesh","09","Mathura","UP85","Bharat (Trem) Stage III A","Norm","277.0"
"2020-04-01","Chhattisgarh","22","Raipur Rto","CG4","Bharat (Trem) Stage III A","Norm","1.0"
"2020-09-01","Kerala","32","Kozhikode Rto","KL11","Not Available","Norm","6.0"
"2019-10-01","Tamil Nadu","33","Kancheepuram Rto","TN21","Bharat (Trem) Stage III A","Norm","10.0"
"2021-07-01","Gujarat","24","Rajkot","GJ3","Bharat Stage III (CEV)","Norm","17.0"
"2020-09-01","Karnataka","29","Mangalore Rto","KA19","Not Available","Norm","10.0"
"2024-02-01","Tamil Nadu","33","Vadipatti Uo","TN599","Bharat Stage III (CEV)","Norm","1.0"
"2024-02-01","Punjab","03","Sdm Kharar","PB27","Bharat (Trem) Stage IV","Norm","6.0"
"2020-10-01","Rajasthan","08","Bundi Dto","RJ8","Bharat Stage VI","Norm","1189.0"
"2021-02-01","Tamil Nadu","33","Thiruthuraipoondi Uo","TN630","Not Available","Norm","1.0"
"2024-01-01","Punjab","03","Rto Ropar","PB12","Bharat Stage IV (CEV)","Norm","2.0"
"2024-01-01","Kerala","32","Mannarghat Srto","KL50","Bharat Stage VI","Norm","526.0"
"2023-07-01","Haryana","06","Rta, Panchkula","HR68","Not Available","Norm","8.0"
"2022-02-01","Jammu And Kashmir","01","Anantnag Arto","JK3","Bharat Stage IV (CEV)","Norm","2.0"
"2023-12-01","Tamil Nadu","33","Srirangam Rto","TN48","Bharat Stage VI","Norm","722.0"
"2024-02-01","Kerala","32","Thirur Srto","KL55","Bharat Stage IV (CEV)","Norm","3.0"
"2019-09-01","Bihar","10","Kishanganj","BR37","Bharat Stage IV","Norm","2054.0"
"2019-08-01","Uttar Pradesh","09","Bareilly","UP25","Bharat Stage III (CEV)","Norm","4.0"
"2023-04-01","Haryana","06","Kosli","HR43","Not Available","Norm","3.0"
"2021-04-01","Chhattisgarh","22","Rajnandgaon Arto","CG8","Bharat (Trem) Stage III A","Norm","30.0"
"2020-08-01","Karnataka","29","Tarikere, Chikkamagaluru Arto","KA66","Not Available","Norm","20.0"
"2019-05-01","Himachal Pradesh","02","Rla Shahpur","HP90","Bharat (Trem) Stage III A","Norm","1.0"
"2020-09-01","Kerala","32","Perinthalmanna Srto","KL53","Bharat Stage IV","Norm","1.0"
"2020-07-01","Punjab","03","Sdm Ajnala","PB14","Bharat (Trem) Stage III A","Norm","10.0"
"2022-11-01","Karnataka","29","Hunsur Arto","KA45","Bharat Stage VI","Norm","525.0"
"2020-02-01","Bihar","10","Bhojpur","BR3","Not Available","Norm","55.0"
"2019-09-01","Jammu And Kashmir","01","Kathua Rto","JK8","Bharat Stage III (CEV)","Norm","1.0"
"2019-06-01","Haryana","06","Narwana","HR32","Bharat Stage III (CEV)","Norm","2.0"
"2022-09-01","Karnataka","29","Dharwad East Rto","KA63","Bharat Stage III (CEV)","Norm","2.0"
"2023-09-01","Himachal Pradesh","02","Rla Haroli","HP80","Bharat Stage III (CEV)","Norm","1.0"
"2022-04-01","Uttar Pradesh","09","Ferozabad","UP83","Bharat Stage VI","Norm","3400.0"
"2024-02-01","Maharashtra","27","Gadchiroli","MH33","Bharat (Trem) Stage III A","Norm","127.0"
"2020-09-01","Tamil Nadu","33","Ramanathapuram Rto","TN65","Not Applicable","Norm","2.0"
"2021-05-01","Madhya Pradesh","23","Sheopur Dto","MP31","Bharat (Trem) Stage III A","Norm","1.0"
"2020-11-01","Kerala","32","Nilambur Srto","KL71","Bharat Stage III","Norm","12661.0"
"2021-09-01","Himachal Pradesh","02","Rto Chamba","HP73","Bharat (Trem) Stage III A","Norm","2.0"
"2021-04-01","Tamil Nadu","33","Coimbatore (South) Rto","TN37","Bharat (Trem) Stage III A","Norm","6.0"
"2019-08-01","Karnataka","29","Bantwala Arto","KA70","Bharat Stage IV","Norm","611.0"
"2023-04-01","Punjab","03","Rto Ropar","PB12","Bharat Stage VI","Norm","313.0"
"2022-05-01","West Bengal","19","Islampur Arto","WB91","Bharat Stage VI","Norm","878.0"
"2022-06-01","Chhattisgarh","22","Rajnandgaon Arto","CG8","Bharat Stage V (CEV)","Norm","2.0"
"2020-01-01","Uttarakhand","05","Haridwar Arto","UK8","Bharat Stage IV","Norm","1713.0"
"2022-12-01","Haryana","06","Rta, Ynr","HR58","Not Available","Norm","68.0"
"2020-11-01","Haryana","06","Karnal","HR5","Bharat (Trem) Stage III","Norm","1.0"
